occupation,occupationLabel,count
http://www.wikidata.org/entity/Q2095549,aircraft pilot,256
http://www.wikidata.org/entity/Q81096,engineer,222
http://www.wikidata.org/entity/Q189290,military officer,217
http://www.wikidata.org/entity/Q730242,test pilot,85
http://www.wikidata.org/entity/Q10497074,military flight engineer,77
http://www.wikidata.org/entity/Q169470,physicist,55
http://www.wikidata.org/entity/Q39631,physician,55
http://www.wikidata.org/entity/Q82955,politician,52
http://www.wikidata.org/entity/Q47064,military personnel,41
http://www.wikidata.org/entity/Q618694,fighter pilot,39
http://www.wikidata.org/entity/Q1622272,university teacher,31
http://www.wikidata.org/entity/Q36180,writer,27
http://www.wikidata.org/entity/Q43845,businessperson,26
http://www.wikidata.org/entity/Q11900058,explorer,22
http://www.wikidata.org/entity/Q432425,flight engineer,21
http://www.wikidata.org/entity/Q19934710,air force officer,19
http://www.wikidata.org/entity/Q593644,chemist,18
http://www.wikidata.org/entity/Q11063,astronomer,17
http://www.wikidata.org/entity/Q10669499,naval officer,16
http://www.wikidata.org/entity/Q131524,entrepreneur,15
