,organisation,effectif
0,public educational institution of the united states,493
1,space agency,369
2,university,354
3,independent agency of the united states government,315
4,private not-for-profit educational institution,300
5,open-access publisher,300
6,high school,287
7,public research university,254
8,institute of technology,154
9,private university,153
10,public university,151
11,land-grant university,149
12,research university,148
13,military school,140
14,organization,125
15,military academy,120
16,flight school,110
17,academic publisher,103
18,census-designated place in the united states,69
19,naval academy,68
20,university campus,63
21,staff college,62
22,observatory,62
23,educational institution,61
24,military unit,60
25,expedition to the international space station,60
26,public school,59
27,national research university,58
28,space grant institution,55
29,military university,55
30,publishing company,52
31,business,51
32,group of humans,49
33,air force academy,46
34,field operating agency,44
35,research institute,43
36,international organization,40
37,medical school,37
38,legislative term,31
39,enterprise,31
40,educational organization,30
41,school,30
42,direct reporting unit,29
43,nonprofit organization,28
44,military museum,28
45,colonial colleges,27
46,higher education institution,27
47,public company,26
48,intergovernmental organization,26
49,engineering college,24
50,faculty,22
51,business school,21
52,learned society,20
53,university in ontario,19
54,sun grant institution,18
55,recruitment,16
56,production company,16
57,academy of sciences,15
58,academic institution,15
59,secondary school,13
60,university of excellence,12
61,air force,12
62,comprehensive university,12
63,united nations depository library,11
64,research center,11
65,local internet registry,11
66,college,11
67,musical group,11
68,scientific society,10
69,school building,10
70,liberal arts college in the united states,10
71,liberal arts college,10
72,state-owned enterprise,10
73,university-preparatory school,9
74,community college,9
75,federal agency,9
76,united states senior military college,9
77,university in quebec,8
78,honor society,8
79,collegiate university,8
80,hospital,8
81,scientific organization,8
82,space center,8
83,university building,8
84,nasa facility,8
85,sea grant institution,8
86,national academy,7
87,boarding school,7
88,international non-governmental organization,7
89,vice-ministerial level university,7
90,united states federal agency,7
91,catholic university,7
92,government agency,7
93,grande école,7
94,independent school,6
95,squadron,6
96,workplace,6
97,neighborhood,6
98,polytechnic,5
99,university in france,5
100,aerospace manufacturer,5
101,college of the university of cambridge,5
102,fraternity,5
103,higher education institution directly under ministry of education of the people’s republic of china,5
104,philatelic organization,5
105,private school,5
106,arboretum,5
107,building,5
108,defense contractor,4
109,academy,4
110,501(c)(3) organization,4
111,state university system,4
112,launch service provider,4
113,facility,4
114,educational facility,4
115,company,4
116,swedish government agency,3
117,umbrella organization,3
118,gymnasium in germany,3
119,coast guard academy,3
120,human spaceflight,3
121,law school,3
122,group of structures or buildings,3
123,historically black college or university,3
124,professional society,3
125,canadian federal department or agency,3
126,multinational corporation,3
127,ministry-owned university,3
128,charitable organization,3
129,campus university,3
130,medical facility,3
131,military training center,3
132,military infantry school,3
133,building complex,3
134,church college,3
135,public policy school,3
136,software company,3
137,regional parliament of russia,3
138,national university,3
139,navy,3
140,autonomous university,3
141,bicameral legislature,3
142,astronaut corps,3
143,university in british columbia,3
144,research i university,2
145,offizierhochschule of former ddr,2
146,professional school,2
147,professional association,2
148,higher federal authority,2
149,military,2
150,japanese combined junior and senior high school,2
151,duma,2
152,colleges that change lives,2
153,fictional government body,2
154,journalism school,2
155,institution,2
156,laboratory,2
157,christian school,2
158,video game publisher,2
159,women's college,2
160,art academy,2
161,association,2
162,elected legislative house,2
163,engineering society,2
164,architectural landmark,2
165,engineering education,2
166,charter high school,2
167,centre for marine biology,2
168,museum,2
169,national school,2
170,corporation,2
171,national defense university,2
172,national mapping agency,2
173,trade union federation,2
174,federal university,2
175,geological survey,2
176,aerodrome,2
177,technology company,2
178,institute of the russian academy of sciences,2
179,combination of undergraduate and graduate school,2
180,lower house,2
181,civil servant training institution,2
182,professional services firm,2
183,central committee,2
184,swedish royal academies,2
185,historic district,1
186,trauma centre,1
187,type of educational institution,1
188,"studentenverbindung, catholic",1
189,unicameral legislature,1
190,aefe managed schools,1
191,town in the united states,1
192,academy school,1
193,advisory group,1
194,think tank,1
195,theatre company,1
196,telecommunication company,1
197,technical school,1
198,committee,1
199,facility and other organ,1
200,executive branch,1
201,executive  agency,1
202,doctoral program,1
203,legislature,1
204,economic affairs ministry,1
205,drama school,1
206,magnet school,1
207,lycée,1
208,lower secondary school in japan,1
209,institute of science and technology,1
210,institute,1
211,human spaceflight program,1
212,marching band,1
213,maison d'éducation de la légion d'honneur,1
214,grammar school,1
215,graduate school,1
216,juvenile political organization,1
217,"japanese elementary, junior high and high schools",1
218,japanese high school,1
219,jesuit school,1
220,coast guard,1
221,collective head of state,1
222,french school abroad,1
223,general education liceum,1
224,foreign intelligence service,1
225,flight training,1
226,fighter squadron,1
227,fighter wing,1
228,gymnasieskola,1
229,grand établissement,1
230,comprehensive academic and research university,1
231,veterinary school,1
232,university in nova scotia,1
233,university in postwar japan,1
234,trade association,1
235,federal scientific institute,1
236,academy of sciences and arts,1
237,high iq society,1
238,holding company,1
239,historic site,1
240,federal government,1
241,federal law enforcement agency of the united states,1
242,medical organization,1
243,non-governmental organization,1
244,open-access repository,1
245,non-profit hospital,1
246,parliamentary army,1
247,permanent commission,1
248,certificate authority,1
249,central university,1
250,children's hospital,1
251,ministry of trade,1
252,christian organization,1
253,language school,1
254,ministry of health,1
255,military training unit,1
256,middle school,1
257,military education and training,1
258,marines,1
259,maritime college,1
260,medical corps,1
261,komsomol body,1
262,constituent college,1
263,county seat,1
264,red brick university,1
265,regulatory college,1
266,research group,1
267,polling place,1
268,school district in the united states,1
269,research program,1
270,presidium,1
271,primary school,1
272,private for-profit educational institution,1
273,pontifical university,1
274,private spaceflight,1
275,ottoman association,1
276,profession,1
277,privy council,1
278,armed forces,1
279,public broadcaster,1
280,ancient university,1
281,archive,1
282,space station,1
283,sorority,1
284,society,1
285,sea rescue organization,1
286,congressional caucus,1
287,conglomerate,1
288,educational stage,1
289,eingetragener verein,1
290,rail vehicle manufacturer,1
291,public educational institution,1
292,city duma,1
293,city in the united states,1
294,board of directors,1
295,boys' school,1
296,broadcaster,1
297,space tourism,1
298,specialized high school in new york city,1
299,specialized higher education institution,1
300,sports venue,1
301,scouting association,1
302,delta,1
303,distance education university,1
304,big city,1
305,student society,1
306,standards organization,1
307,diver training organization,1
308,stiftungshochschule,1
309,state or insular area capital of the united states,1
310,award,1
311,cpsu body,1
312,crewed spacecraft,1
313,creative union in the soviet union,1
314,deemed university,1
315,defunct organization,1
316,women's club,1
317,airline,1
318,vostok,1
319,united states national laboratory,1
320,united states federal executive department,1
321,academic medical centre,1
322,university branch,1
323,university affiliated research center,1
324,academic department,1
325,united states navy aviation unit,1
