,token,effectif
0,university,1012
1,the,899
2,institution,897
3,educational,885
4,states,837
5,united,837
6,public,720
7,school,667
8,research,508
9,space,494
10,agency,432
11,publisher,397
12,government,328
13,military,323
14,independent,321
15,private,314
16,open-access,301
17,not-for-profit,300
18,high,294
19,academy,263
20,organization,231
21,land-grant,149
22,institute,148
23,college,148
24,academic,121
25,flight,111
26,technology,107
27,international,107
28,company,100
29,unit,91
30,grant,75
31,national,75
32,business,72
33,place,70
34,census-designated,69
35,naval,68
36,campus,66
37,group,65
38,staff,62
39,observatory,62
40,station,61
41,expedition,60
42,force,58
43,air,58
44,publishing,52
45,humans,49
46,operating,44
47,field,44
48,enterprise,41
49,medical,40
50,education,38
51,higher,35
52,society,34
53,legislative,33
54,term,31
55,museum,30
56,colleges,29
57,reporting,29
58,direct,29
59,engineering,28
60,nonprofit,28
61,colonial,27
62,federal,27
63,intergovernmental,26
64,building,25
65,faculty,22
66,arts,21
67,learned,20
68,facility,20
69,liberal,20
70,scientific,19
71,ontario,19
72,sun,18
73,sciences,18
74,center,17
75,production,16
76,recruitment,16
77,secondary,14
78,comprehensive,13
79,excellence,12
80,senior,11
81,musical,11
82,library,11
83,internet,11
84,local,11
85,nations,11
86,depository,11
87,registry,11
88,and,10
89,hospital,10
90,state-owned,10
91,professional,9
92,community,9
93,university-preparatory,9
94,sea,9
95,training,9
96,collegiate,8
97,quebec,8
98,catholic,8
99,nasa,8
100,honor,8
101,non-governmental,8
102,école,7
103,ministry,7
104,level,7
105,grande,7
106,squadron,7
107,boarding,7
108,vice-ministerial,7
109,association,7
110,defense,6
111,neighborhood,6
112,workplace,6
113,state,6
114,cambridge,5
115,china,5
116,philatelic,5
117,corporation,5
118,directly,5
119,service,5
120,swedish,5
121,under,5
122,aerospace,5
123,arboretum,5
124,polytechnic,5
125,department,5
126,fraternity,5
127,people’s,5
128,republic,5
129,legislature,5
130,manufacturer,5
131,france,5
132,launch,4
133,501(c)(3),4
134,navy,4
135,guard,4
136,trade,4
137,coast,4
138,contractor,4
139,provider,4
140,law,4
141,system,4
142,spaceflight,4
143,body,4
144,corps,4
145,japanese,4
146,human,4
147,black,3
148,authority,3
149,astronaut,3
150,women's,3
151,autonomous,3
152,structures,3
153,committee,3
154,columbia,3
155,centre,3
156,central,3
157,charitable,3
158,christian,3
159,church,3
160,city,3
161,canadian,3
162,buildings,3
163,software,3
164,british,3
165,russia,3
166,bicameral,3
167,complex,3
168,regional,3
169,parliament,3
170,policy,3
171,program,3
172,executive,3
173,duma,3
174,ministry-owned,3
175,germany,3
176,multinational,3
177,infantry,3
178,historically,3
179,gymnasium,3
180,graduate,3
181,lower,3
182,junior,3
183,umbrella,3
184,union,3
185,undergraduate,2
186,for,2
187,marine,2
188,mapping,2
189,laboratory,2
190,journalism,2
191,house,2
192,landmark,2
193,aerodrome,2
194,architectural,2
195,japan,2
196,combination,2
197,russian,2
198,schools,2
199,combined,2
200,royal,2
201,charter,2
202,civil,2
203,change,2
204,specialized,2
205,that,2
206,biology,2
207,survey,2
208,services,2
209,branch,2
210,broadcaster,2
211,art,2
212,video,2
213,academies,2
214,district,2
215,ddr,2
216,offizierhochschule,2
217,fictional,2
218,federation,2
219,firm,2
220,fighter,2
221,former,2
222,game,2
223,geological,2
224,elected,2
225,lives,2
226,historic,2
227,servant,2
228,insular,1
229,grammar,1
230,intelligence,1
231,grand,1
232,lycée,1
233,magnet,1
234,jesuit,1
235,marching,1
236,marines,1
237,maison,1
238,managed,1
239,language,1
240,komsomol,1
241,juvenile,1
242,légion,1
243,ancient,1
244,airline,1
245,aefe,1
246,advisory,1
247,affiliated,1
248,affairs,1
249,theatre,1
250,abroad,1
251,unicameral,1
252,type,1
253,trauma,1
254,town,1
255,tourism,1
256,think,1
257,archive,1
258,maritime,1
259,nova,1
260,organ,1
261,enforcement,1
262,profession,1
263,presidium,1
264,postwar,1
265,privy,1
266,primary,1
267,political,1
268,constituent,1
269,congressional,1
270,eingetragener,1
271,economic,1
272,liceum,1
273,non-profit,1
274,gymnasieskola,1
275,french,1
276,general,1
277,"elementary,",1
278,new,1
279,head,1
280,foreign,1
281,for-profit,1
282,forces,1
283,other,1
284,ottoman,1
285,parliamentary,1
286,permanent,1
287,middle,1
288,delta,1
289,health,1
290,holding,1
291,creative,1
292,crewed,1
293,d'honneur,1
294,d'éducation,1
295,deemed,1
296,defunct,1
297,collective,1
298,rail,1
299,rescue,1
300,red,1
301,regulatory,1
302,repository,1
303,distance,1
304,directors,1
305,doctoral,1
306,diver,1
307,polling,1
308,pontifical,1
309,drama,1
310,caucus,1
311,seat,1
312,children's,1
313,certificate,1
314,conglomerate,1
315,board,1
316,commission,1
317,scouting,1
318,scotia,1
319,science,1
320,cpsu,1
321,county,1
322,council,1
323,area,1
324,armed,1
325,sorority,1
326,soviet,1
327,spacecraft,1
328,sports,1
329,stage,1
330,standards,1
331,club,1
332,telecommunication,1
333,boys',1
334,technical,1
335,"studentenverbindung,",1
336,site,1
337,brick,1
338,capital,1
339,student,1
340,stiftungshochschule,1
341,tank,1
342,big,1
343,aviation,1
344,army,1
345,award,1
346,band,1
347,wing,1
348,york,1
349,veterinary,1
350,vostok,1
351,verein,1
352,venue,1
353,vehicle,1
354,établissement,1
